research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type,hypothesis
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,salaried_work,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,casual_daily_labour,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,income_own_business,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,support_from_family_inlibya,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,support_from_family_home,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,support_from_family_europe,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,humanitarian_assistance,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,zakat,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,income_other,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,food_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,rent_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,shelter_maintenance_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,water_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,nfi_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,utilities_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,fuel_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,health_related_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,education_related_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,transportation_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,mobile_phone_credit_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,productive_assets_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,debt_repayment_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,other_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),,,,hh_total_debt,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,salaried_work,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,casual_daily_labour,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,income_own_business,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,support_from_family_inlibya,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,support_from_family_home,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,support_from_family_europe,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,humanitarian_assistance,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,zakat,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,income_other,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,food_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,rent_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,shelter_maintenance_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,water_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,nfi_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,utilities_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,fuel_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,health_related_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,education_related_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,transportation_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,mobile_phone_credit_expenditure,numerical,direct_reporting_median,
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),mantika_label,,,productive_assets_expenditure,numerical,direct_reporting_median,
