list_name,name,label::English (en),label::French (fr),label::Arabic (ar),mantika,baladiya,organisation,media::image:: English (en),media::image:: Arabic (ar),media::image:: French (fr)
yes_no,yes,Yes,Oui,äÚã,,,,,,
yes_no,no,No,Non,áÇ,,,,,,
yes_no_dk_dwta,yes,Yes,Oui,äÚã,,,,,,
yes_no_dk_dwta,no,No,Non,áÇ,,,,,,
yes_no_dk_dwta,dk,Don't know,ne sais pas,áÇ ÃÚÑİ,,,,,,
yes_no_dk_dwta,dwta,Prefer not to answer,prefere ne pas répondre,ÃİÖá ÚÏã ÇáÅÌÇÈÉ,,,,,,
male_female,male,Male,Homme,ĞßÑ,,,,,,
male_female,female,Female,Femme,ÃäËì,,,,,,
organisation_name,bassmetamal,Bassmet Amal,Bassmet Amal,Bassmet Amal,,,,,,
organisation_name,cesvi,Cesvi,Cesvi,Cesvi,,,,,,
organisation_name,imc,Imc,Imc,Imc,,,,,,
organisation_name,iom,IOM,IOM,IOM,,,,,,
organisation_name,irc,IRC,IRC,IRC,,,,,,
organisation_name,lifemakers,Lifemakers,Lifemakers,Lifemakers,,,,,,
organisation_name,unicef,UNICEF,UNICEF,UNICEF,,,,,,
enumerator_id,bassmetamal_01,bassmetamal_01,bassmetamal_01,bassmetamal_01,,,bassmetamal,,,
enumerator_id,bassmetamal_02,bassmetamal_02,bassmetamal_02,bassmetamal_02,,,bassmetamal,,,
enumerator_id,bassmetamal_03,bassmetamal_03,bassmetamal_03,bassmetamal_03,,,bassmetamal,,,
enumerator_id,bassmetamal_04,bassmetamal_04,bassmetamal_04,bassmetamal_04,,,bassmetamal,,,
enumerator_id,bassmetamal_05,bassmetamal_05,bassmetamal_05,bassmetamal_05,,,bassmetamal,,,
enumerator_id,bassmetamal_06,bassmetamal_06,bassmetamal_06,bassmetamal_06,,,bassmetamal,,,
enumerator_id,bassmetamal_07,bassmetamal_07,bassmetamal_07,bassmetamal_07,,,bassmetamal,,,
enumerator_id,bassmetamal_08,bassmetamal_08,bassmetamal_08,bassmetamal_08,,,bassmetamal,,,
enumerator_id,bassmetamal_09,bassmetamal_09,bassmetamal_09,bassmetamal_09,,,bassmetamal,,,
enumerator_id,bassmetamal_10,bassmetamal_10,bassmetamal_10,bassmetamal_10,,,bassmetamal,,,
enumerator_id,bassmetamal_11,bassmetamal_11,bassmetamal_11,bassmetamal_11,,,bassmetamal,,,
enumerator_id,bassmetamal_12,bassmetamal_12,bassmetamal_12,bassmetamal_12,,,bassmetamal,,,
enumerator_id,bassmetamal_13,bassmetamal_13,bassmetamal_13,bassmetamal_13,,,bassmetamal,,,
enumerator_id,bassmetamal_14,bassmetamal_14,bassmetamal_14,bassmetamal_14,,,bassmetamal,,,
enumerator_id,bassmetamal_15,bassmetamal_15,bassmetamal_15,bassmetamal_15,,,bassmetamal,,,
enumerator_id,bassmetamal_16,bassmetamal_16,bassmetamal_16,bassmetamal_16,,,bassmetamal,,,
enumerator_id,bassmetamal_17,bassmetamal_17,bassmetamal_17,bassmetamal_17,,,bassmetamal,,,
enumerator_id,bassmetamal_18,bassmetamal_18,bassmetamal_18,bassmetamal_18,,,bassmetamal,,,
enumerator_id,bassmetamal_19,bassmetamal_19,bassmetamal_19,bassmetamal_19,,,bassmetamal,,,
enumerator_id,bassmetamal_20,bassmetamal_20,bassmetamal_20,bassmetamal_20,,,bassmetamal,,,
enumerator_id,cesvi_01,cesvi_01,cesvi_01,cesvi_01,,,cesvi,,,
enumerator_id,cesvi_02,cesvi_02,cesvi_02,cesvi_02,,,cesvi,,,
enumerator_id,cesvi_03,cesvi_03,cesvi_03,cesvi_03,,,cesvi,,,
enumerator_id,cesvi_04,cesvi_04,cesvi_04,cesvi_04,,,cesvi,,,
enumerator_id,cesvi_05,cesvi_05,cesvi_05,cesvi_05,,,cesvi,,,
enumerator_id,cesvi_06,cesvi_06,cesvi_06,cesvi_06,,,cesvi,,,
enumerator_id,cesvi_07,cesvi_07,cesvi_07,cesvi_07,,,cesvi,,,
enumerator_id,cesvi_08,cesvi_08,cesvi_08,cesvi_08,,,cesvi,,,
enumerator_id,cesvi_09,cesvi_09,cesvi_09,cesvi_09,,,cesvi,,,
enumerator_id,cesvi_10,cesvi_10,cesvi_10,cesvi_10,,,cesvi,,,
enumerator_id,cesvi_11,cesvi_11,cesvi_11,cesvi_11,,,cesvi,,,
enumerator_id,cesvi_12,cesvi_12,cesvi_12,cesvi_12,,,cesvi,,,
enumerator_id,cesvi_13,cesvi_13,cesvi_13,cesvi_13,,,cesvi,,,
enumerator_id,cesvi_14,cesvi_14,cesvi_14,cesvi_14,,,cesvi,,,
