type,name,label::English (en),label::French (fr),label::Arabic (ar),required,default,relevant,appearance,constraint,constraint_message::English (en),constraint_message::French (fr),constraint_message::Arabic (ar),choice_filter,calculation,hint::English (en),hint::French (fr),hint::Arabic (ar),repeat_count,parameters
audit,audit,,,,,,,,,,,,,,,,,,location-priority=balanced location-min-interval=1200 location-max-age=2100
start,start,,,,,,,,,,,,,,,,,,
end,end,,,,,,,,,,,,,,,,,,
today,today,,,,,,,,,,,,,,,,,,
deviceid,device_id,,,,,,,,,,,,,,,,,,
select_one organisation_name,organisation_name,Please select your organisation:,veuillez choisir le nom de votre organisation:,íÑÌì ÇÎÊíÇÑ ãäÙãÊß:,yes,,,quick,,,,,,,,,,,
select_one enumerator_id,enumerator_id,Please select your enumerator ID,Veuillez choisir votre ID,íÑÌì ÅÎÊíÇÑ ÇáãÚÑİ ÇáÎÇÕ Èß,yes,,,quick,,,,,organisation = ${organisation_name},,,,,,
calculate,enumerator_name,,,,,,,,,,,,,"pulldata('unique_identifier_migrant', 'name', 'name_key', ${enumerator_id})",,,,,
note,pulled_name,"The holder of this id is ${enumerator_name}, if this is not your name please go back and select the appropriate id","Le portant de cet ID est ${enumerator_name}, si le nom affiché n'est pas le votre veuillez revenir en arriere et choisir le ID approprié","ÕÇÍÈ åĞÇ ÇáãÚÑİ åæ ${enumerator_name} ¡ Åä åĞÇ áíÓ ÇÓãß ÇáÑÌÇÁ ÇáÑÌæÚ Çáì ÇáæÑÇÁ æ ÅÎÊíÇÑ ÇáãÚÑİ ÇáÎÇÕ Èß",,,,,,,,,,,,,,,
select_one mantika,pulled_name,Mantika (Admin 2):,Mantika (Admin 2):,ãäØŞÉ,yes,,,quick,,,,,,,,,,,
calculate,mantika_label,,,,,,,,,,,,,"pulldata('mantika_labels', 'name', 'name_key', ${mantika})",,,,,
select_one baladiya,baladiya,Baladiya (Admin 3):,Baladiya (Admin 3):,ÈáÏíÉ,yes,,,quick,,,,,mantika=${mantika},,,,,,
calculate,baladiya_label,,,,,,,,,,,,,"pulldata('baladiya_labels', 'name', 'name_key', ${baladiya})",,,,,
select_one muhalla,muhalla,Mahalla of current residence (Admin 4),Mahalla (Admin 4),ÇáãÍáÉ,yes,,,quick,,,,,baladiya=${baladiya},,,,,,
calculate,muhalla_label,,,,,,,,,,,,,"pulldata('muhalla_labels', 'name', 'name_key', ${muhalla})",,,,,
text,muhalla_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,${muhalla}='other',,,,,,,,,,,,
note,introduction_paragraph,"I am working with ${organisation_name} on behalf of a project from ACTED, an international organisation based in Libya.  
This survey is not connected to any specific aid distributions, and completing it does not make it more likely that you will receive aid. However, the data we collect will be used by the humanitarian community to determine what the critical needs and priorities are for vulnerable communities across Libya.
Your participation in this survey is voluntary, and you can choose to stop at any time. The information that you give us will be kept confidential. The interview is completely anonymous: we will not write your name down, so no one can know that you participated in this interview.
We value your participation in this survey which should take approximately 50 minutes to conduct. 
Many thanks in advance for your cooperation.","Je travaille avec ${organisation_name} pour un projet d'ACTED, une organisation internationale basée en Libye.  
Cette enquête n'est pas liée à des distributions d'aide spécifiques et le fait de la remplir ne rend pas plus probable que vous recevrez de l'aide. Cependant, les données que nous recueillons seront utilisées par la communauté humanitaire pour déterminer quels sont les besoins et les priorités essentiels des communautés vulnérables en Libye.
Votre participation à cette enquête est volontaire et vous pouvez choisir d'y mettre fin à tout moment. Les informations que vous nous communiquez resteront confidentielles. L'entrevue est totalement anonyme : nous ne prendrons pas votre nom par écrit, de sorte que personne ne peut savoir que vous avez participé à cette entrevue.
Nous apprécions votre participation à ce sondage qui devrait prendre environ 40 minutes. 
Merci d'avance pour votre coopération","ÃäÇ ÃÚãá ãÚ ${organisation_name} äíÇÈÉ Úä ãÔÑæÚ ãä ãäÙãÉ ÃßÊíÏ¡ æåí ãäÙãÉ ÏæáíÉ ãŞÑåÇ İí áíÈíÇ. åĞÇ ÇáÇÓÊÈíÇä ÛíÑ ãÑÊÈØ ÈÃí ÊæÒíÚÇÊ ãÍÏÏÉ ááãÚæäÉ ¡ æáÇ íÄÏí ÇÓÊßãÇáå Åáì ÇÍÊãÇá ÊáŞí ÇáãÚæäÉ. æãÚ Ğáß ¡ ÓíÊã ÇÓÊÎÏÇã ÇáÈíÇäÇÊ ÇáÊí äÌãÚåÇ ãä ŞÈá ÇáãÌÊãÚ ÇáÅäÓÇäí áÊÍÏíÏ ÇáÇÍÊíÇÌÇÊ æÇáÃæáæíÇÊ ÇáÖÑæÑíÉ ááãÌÊãÚÇÊ ÇáÖÚíİÉ İí ÌãíÚ ÃäÍÇÁ áíÈíÇ.ãÔÇÑßÊß İí åĞÇ ÇáÇÓÊØáÇÚ ØæÚíÉ ¡ æíãßäß ÇÎÊíÇÑ ÇáÊæŞİ İí Ãí æŞÊ. ÓÊÈŞì ÇáãÚáæãÇÊ ÇáÊí ÊŞÏãåÇ áäÇ ÓÑíÉ. äÍä äŞÏÑ ãÔÇÑßÊß İí åĞÇ ÇáÇÓÊÈíÇä ÇáĞí ÓíÓÊÛÑŞ ÍæÇáí 50 ÏŞíŞÉ áÅäåÇÆå.ÔßÑÇ ÌÒíáÇ ãŞÏãÇ áÊÚÇæäßã.",,,,,,,,,,,,,,,
select_one yes_no,consent,Do you consent participating in this survey?,Acceptez-vous de participer à cette enquête?,åá ÊæÇİŞ Úáì ÇáãÔÇÑßÉ İí ÇáÇÓÊÈíÇä¿,yes,,,quick,,,,,,,,,,,
begin_group,consented,consented,consentement,ÇáãæÇİŞÉ,yes,,${consent}='yes',,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
note,bio_metadata_section,Bio/Meta Data,"données biologiques /métadonnées
",ãÚáæãÇÊ ÔÎÕíÉ,,,,,,,,,,,,,,,
