"","dependent.var","independent.var","independent.var.value","dependent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"dependent.var","mantika_label",NA,"NA","Ejdabia",1,NA,NA,NA,NA,NA
"1","baladiya_label",NA,"NA","Albrayga",0.171974522292994,NA,0.112758436404023,0.231190608181965,NA,NA
"2","baladiya_label",NA,"NA","Ejdabia",0.630573248407643,NA,0.554834568111503,0.706311928703784,NA,NA
"3","baladiya_label",NA,"NA","Jalu",0.197452229299363,NA,0.134984997779676,0.25991946081905,NA,NA
"110","In which country were you born?",NA,"NA","Bangladesh",0.0445859872611465,NA,0.0121982364664179,0.0769737380558751,NA,NA
"210","In which country were you born?",NA,"NA","Tchad",0.184713375796178,NA,0.123817185575819,0.245609566016537,NA,NA
"310","In which country were you born?",NA,"NA","Egypt",0.165605095541401,NA,0.107272881427103,0.2239373096557,NA,NA
"4","In which country were you born?",NA,"NA","Eritrea",0.0382165605095541,NA,0.00813154510009846,0.0683015759190098,NA,NA
"5","In which country were you born?",NA,"NA","Ethiopia",0.0254777070063694,NA,0.000751252352384244,0.0502041616603546,NA,NA
"6","In which country were you born?",NA,"NA","Ghana",0.121019108280255,NA,0.0698388488339403,0.172199367726569,NA,NA
"7","In which country were you born?",NA,"NA","Niger",0.0318471337579618,NA,0.00429260832942457,0.059401659186499,NA,NA
"8","In which country were you born?",NA,"NA","Nigeria",0.0318471337579618,NA,0.00429260832942457,0.059401659186499,NA,NA
"9","In which country were you born?",NA,"NA","Sudan",0.267515923566879,NA,0.19805193687528,0.336979910258478,NA,NA
"10","In which country were you born?",NA,"NA","Syria",0.089171974522293,NA,0.0444502876995405,0.133893661345046,NA,NA
"dependent.var2","In which country was your father born?",NA,"NA",NA,NA,NA,NA,NA,NA,NA
"dependent.var3","In which country was your mother born?",NA,"NA",NA,NA,NA,NA,NA,NA,NA
"111","What nationality do you possess?",NA,"NA","Bangladesh",0.0445859872611465,NA,0.0121982364664179,0.0769737380558751,NA,NA
"211","What nationality do you possess?",NA,"NA","Tchad",0.184713375796178,NA,0.123817185575819,0.245609566016537,NA,NA
"311","What nationality do you possess?",NA,"NA","Egypt",0.165605095541401,NA,0.107272881427103,0.2239373096557,NA,NA
"410","What nationality do you possess?",NA,"NA","Eritrea",0.0445859872611465,NA,0.0121982364664179,0.0769737380558751,NA,NA
"51","What nationality do you possess?",NA,"NA","Ethiopia",0.0191082802547771,NA,-0.00237532318315287,0.040591883692707,NA,NA
"61","What nationality do you possess?",NA,"NA","Ghana",0.121019108280255,NA,0.0698388488339403,0.172199367726569,NA,NA
"71","What nationality do you possess?",NA,"NA","Niger",0.0318471337579618,NA,0.00429260832942457,0.059401659186499,NA,NA
"81","What nationality do you possess?",NA,"NA","Nigeria",0.0318471337579618,NA,0.00429260832942457,0.059401659186499,NA,NA
"91","What nationality do you possess?",NA,"NA","Sudan",0.261146496815287,NA,0.192216689828958,0.330076303801615,NA,NA
"101","What nationality do you possess?",NA,"NA","Syria",0.0955414012738854,NA,0.0494121993330501,0.141670603214721,NA,NA
"112","What are your primary languages?",NA,"NA","1. Arabic",0.770700636942675,NA,0.70421737782922,0.837183896056131,NA,NA
"212","What are your primary languages?",NA,"NA","2. English",0.210191082802548,NA,0.145753954409532,0.274628211195564,NA,NA
"312","What are your primary languages?",NA,"NA","3. French",0.0700636942675159,NA,0.029695331493092,0.11043205704194,NA,NA
"411","What are your primary languages?",NA,"NA","4. Hausa",0.0509554140127389,NA,0.016177262653655,0.0857335653718228,NA,NA
"52","What are your primary languages?",NA,"NA","5. Songhai/Zarma/Djerma",0.00636942675159236,NA,0,0.0189508758452449,NA,NA
"62","What are your primary languages?",NA,"NA","6. Sara/Bongo/Bagirmi",0.0127388535031847,NA,0,0.030474589375561,NA,NA
"72","What are your primary languages?",NA,"NA","7. Bedawi/Beja",0,NA,0,0,NA,NA
"82","What are your primary languages?",NA,"NA","8. Nubian",0.00636942675159236,NA,0,0.0189508758452449,NA,NA
"92","What are your primary languages?",NA,"NA","9. Fur",0,NA,0,0,NA,NA
"102","What are your primary languages?",NA,"NA","10. Zaghawa",0.0191082802547771,NA,0,0.0407598482560923,NA,NA
"11","What are your primary languages?",NA,"NA","11. Dinka ",0,NA,0,0,NA,NA
"12","What are your primary languages?",NA,"NA","12. Fula/Fulani/Fulfulde",0.0127388535031847,NA,0,0.030474589375561,NA,NA
"13","What are your primary languages?",NA,"NA","13. Tamasheq",0,NA,0,0,NA,NA
"14","What are your primary languages?",NA,"NA","14. Kanuri",0,NA,0,0,NA,NA
"15","What are your primary languages?",NA,"NA","15. Igbo/Ibo",0,NA,0,0,NA,NA
"16","What are your primary languages?",NA,"NA","16. Yoruba",0.00636942675159236,NA,0,0.0189508758452449,NA,NA
"17","What are your primary languages?",NA,"NA","17. Akan/Asante/Fante",0.0509554140127389,NA,0.0161772626536549,0.0857335653718228,NA,NA
"18","What are your primary languages?",NA,"NA","18. Bambara",0,NA,0,0,NA,NA
"19","What are your primary languages?",NA,"NA","19. Bengali",0.0445859872611465,NA,0.0119450203596793,0.0772269541626137,NA,NA
"20","What are your primary languages?",NA,"NA","20. Tigrinya",0.0636942675159236,NA,0.0250729546386047,0.102315580393242,NA,NA
"21","What are your primary languages?",NA,"NA","21. Somali",0.00636942675159236,NA,0,0.0189508758452449,NA,NA
"22","What are your primary languages?",NA,"NA","Other (please specify)",0.0127388535031847,NA,0,0.030474589375561,NA,NA
"113","When did you arrive in Libya?",NA,"NA","2004-06-01",0.00636942675159236,NA,-0.00611442028369463,0.0188532737868793,NA,NA
"213","When did you arrive in Libya?",NA,"NA","2005-03-01",0.00636942675159236,NA,-0.00611442028369463,0.0188532737868793,NA,NA
"313","When did you arrive in Libya?",NA,"NA","2012-08-01",0.00636942675159236,NA,-0.00611442028369463,0.0188532737868793,NA,NA
"412","When did you arrive in Libya?",NA,"NA","2012-10-01",0.00636942675159236,NA,-0.00611442028369461,0.0188532737868793,NA,NA
"53","When did you arrive in Libya?",NA,"NA","2012-11-01",0.00636942675159236,NA,-0.00611442028369463,0.0188532737868793,NA,NA
"63","When did you arrive in Libya?",NA,"NA","2013-06-01",0.0127388535031847,NA,-0.00485929533014021,0.0303370023365096,NA,NA
"73","When did you arrive in Libya?",NA,"NA","2013-11-01",0.00636942675159236,NA,-0.00611442028369463,0.0188532737868793,NA,NA
"83","When did you arrive in Libya?",NA,"NA","2013-12-01",0.00636942675159236,NA,-0.00611442028369461,0.0188532737868793,NA,NA
"93","When did you arrive in Libya?",NA,"NA","2014-03-01",0.00636942675159236,NA,-0.00611442028369463,0.0188532737868794,NA,NA
"103","When did you arrive in Libya?",NA,"NA","2014-04-01",0.0127388535031847,NA,-0.00485929533014015,0.0303370023365096,NA,NA
"114","When did you arrive in Libya?",NA,"NA","2014-05-01",0.0127388535031847,NA,-0.00485929533014021,0.0303370023365096,NA,NA
"121","When did you arrive in Libya?",NA,"NA","2014-08-01",0.00636942675159236,NA,-0.00611442028369463,0.0188532737868794,NA,NA
"131","When did you arrive in Libya?",NA,"NA","2015-10-01",0.00636942675159236,NA,-0.00611442028369463,0.0188532737868793,NA,NA
"141","When did you arrive in Libya?",NA,"NA","2016-01-01",0.00636942675159236,NA,-0.00611442028369464,0.0188532737868794,NA,NA
"151","When did you arrive in Libya?",NA,"NA","2016-04-01",0.00636942675159236,NA,-0.00611442028369463,0.0188532737868793,NA,NA
"161","When did you arrive in Libya?",NA,"NA","2016-06-01",0.0127388535031847,NA,-0.00485929533014015,0.0303370023365096,NA,NA
"171","When did you arrive in Libya?",NA,"NA","2016-10-01",0.00636942675159236,NA,-0.00611442028369463,0.0188532737868793,NA,NA
"181","When did you arrive in Libya?",NA,"NA","2017-03-01",0.00636942675159236,NA,-0.00611442028369463,0.0188532737868793,NA,NA
"191","When did you arrive in Libya?",NA,"NA","2017-04-01",0.00636942675159236,NA,-0.00611442028369463,0.0188532737868793,NA,NA
"201","When did you arrive in Libya?",NA,"NA","2017-05-01",0.00636942675159236,NA,-0.00611442028369463,0.0188532737868793,NA,NA
"214","When did you arrive in Libya?",NA,"NA","2017-07-01",0.0127388535031847,NA,-0.00485929533014015,0.0303370023365096,NA,NA
"221","When did you arrive in Libya?",NA,"NA","2017-08-01",0.00636942675159236,NA,-0.00611442028369462,0.0188532737868793,NA,NA
"23","When did you arrive in Libya?",NA,"NA","2017-09-01",0.00636942675159236,NA,-0.00611442028369463,0.0188532737868794,NA,NA
"24","When did you arrive in Libya?",NA,"NA","2017-10-01",0.00636942675159236,NA,-0.00611442028369463,0.0188532737868793,NA,NA
"25","When did you arrive in Libya?",NA,"NA","2017-12-01",0.0127388535031847,NA,-0.00485929533014014,0.0303370023365096,NA,NA
"26","When did you arrive in Libya?",NA,"NA","2018-01-01",0.00636942675159236,NA,-0.00611442028369461,0.0188532737868793,NA,NA
"27","When did you arrive in Libya?",NA,"NA","2018-02-01",0.0127388535031847,NA,-0.00485929533014018,0.0303370023365096,NA,NA
"28","When did you arrive in Libya?",NA,"NA","2018-03-01",0.0127388535031847,NA,-0.00485929533014012,0.0303370023365096,NA,NA
"29","When did you arrive in Libya?",NA,"NA","2018-04-01",0.0191082802547771,NA,-0.00237532318315285,0.040591883692707,NA,NA
"30","When did you arrive in Libya?",NA,"NA","2018-05-01",0.0254777070063694,NA,0.000751252352384203,0.0502041616603547,NA,NA
"31","When did you arrive in Libya?",NA,"NA","2018-06-01",0.0127388535031847,NA,-0.00485929533014021,0.0303370023365096,NA,NA
"32","When did you arrive in Libya?",NA,"NA","2018-07-01",0.0254777070063694,NA,0.000751252352384216,0.0502041616603546,NA,NA
"33","When did you arrive in Libya?",NA,"NA","2018-08-01",0.0254777070063694,NA,0.000751252352384237,0.0502041616603546,NA,NA
"34","When did you arrive in Libya?",NA,"NA","2018-09-01",0.0191082802547771,NA,-0.00237532318315285,0.040591883692707,NA,NA
"35","When did you arrive in Libya?",NA,"NA","2018-10-01",0.0573248407643312,NA,0.020846233245309,0.0938034482833534,NA,NA
"36","When did you arrive in Libya?",NA,"NA","2018-11-01",0.0573248407643312,NA,0.020846233245309,0.0938034482833534,NA,NA
"37","When did you arrive in Libya?",NA,"NA","2018-12-01",0.0764331210191083,NA,0.0347403497068381,0.118125892331378,NA,NA
"38","When did you arrive in Libya?",NA,"NA","2019-01-01",0.114649681528662,NA,0.0646543109176729,0.164645052139652,NA,NA
"39","When did you arrive in Libya?",NA,"NA","2019-02-01",0.101910828025478,NA,0.0544368431507768,0.149384812900179,NA,NA
"40","When did you arrive in Libya?",NA,"NA","2019-03-01",0.101910828025478,NA,0.0544368431507768,0.149384812900179,NA,NA
"41","When did you arrive in Libya?",NA,"NA","2019-04-01",0.0636942675159236,NA,0.025372563976571,0.102015971055276,NA,NA
"42","When did you arrive in Libya?",NA,"NA","2019-05-01",0.0445859872611465,NA,0.0121982364664179,0.0769737380558751,NA,NA
"43","When did you arrive in Libya?",NA,"NA","2019-06-01",0.0127388535031847,NA,-0.0048592953301402,0.0303370023365096,NA,NA
"44","When did you arrive in Libya?",NA,"NA","2019-07-01",0.0127388535031847,NA,-0.00485929533014016,0.0303370023365096,NA,NA
"115","When did you arrive in the current baladiya?",NA,"NA","2006-10-01",0.00636942675159236,NA,-0.00611442028369463,0.0188532737868793,NA,NA
"215","When did you arrive in the current baladiya?",NA,"NA","2008-08-01",0.00636942675159236,NA,-0.00611442028369463,0.0188532737868793,NA,NA
"314","When did you arrive in the current baladiya?",NA,"NA","2012-12-01",0.00636942675159236,NA,-0.00611442028369463,0.0188532737868793,NA,NA
"413","When did you arrive in the current baladiya?",NA,"NA","2015-08-01",0.00636942675159236,NA,-0.00611442028369461,0.0188532737868793,NA,NA
"54","When did you arrive in the current baladiya?",NA,"NA","2015-10-01",0.00636942675159236,NA,-0.00611442028369463,0.0188532737868793,NA,NA
"64","When did you arrive in the current baladiya?",NA,"NA","2016-01-01",0.00636942675159236,NA,-0.00611442028369463,0.0188532737868794,NA,NA
"74","When did you arrive in the current baladiya?",NA,"NA","2016-02-01",0.00636942675159236,NA,-0.00611442028369463,0.0188532737868793,NA,NA
"84","When did you arrive in the current baladiya?",NA,"NA","2016-04-01",0.00636942675159236,NA,-0.00611442028369463,0.0188532737868793,NA,NA
"94","When did you arrive in the current baladiya?",NA,"NA","2016-08-01",0.00636942675159236,NA,-0.00611442028369461,0.0188532737868793,NA,NA
"104","When did you arrive in the current baladiya?",NA,"NA","2016-10-01",0.00636942675159236,NA,-0.00611442028369463,0.0188532737868793,NA,NA
"116","When did you arrive in the current baladiya?",NA,"NA","2016-12-01",0.00636942675159236,NA,-0.00611442028369463,0.0188532737868793,NA,NA
"122","When did you arrive in the current baladiya?",NA,"NA","2017-03-01",0.0127388535031847,NA,-0.00485929533014015,0.0303370023365096,NA,NA
"132","When did you arrive in the current baladiya?",NA,"NA","2017-06-01",0.00636942675159236,NA,-0.00611442028369464,0.0188532737868794,NA,NA
