"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"1.1","mantika_label",NA,"Aljfara","NA",0.00116414435389988,NA,-0.000448777861032959,0.00277706656883273,NA,NA
"1.2","mantika_label",NA,"Aljufra","NA",0.146100116414435,NA,0.129393376888069,0.162806855940802,NA,NA
"1.3","mantika_label",NA,"Alkufra","NA",0.126891734575087,NA,0.111147786082162,0.142635683068013,NA,NA
"1.4","mantika_label",NA,"Azzawya","NA",0.0972060535506403,NA,0.083193931277338,0.111218175823943,NA,NA
"1.5","mantika_label",NA,"Benghazi","NA",0.114668218859139,NA,0.0995973773013981,0.129739060416879,NA,NA
"1.6","mantika_label",NA,"Ejdabia","NA",0.109429569266589,NA,0.0946635162299841,0.124195622303194,NA,NA
"1.7","mantika_label",NA,"Misrata","NA",0.10011641443539,NA,0.0859190165996775,0.114313812271102,NA,NA
"1.8","mantika_label",NA,"Murzuq","NA",0.0977881257275902,NA,0.0837386449679669,0.111837606487214,NA,NA
"1.9","mantika_label",NA,"Sebha","NA",0.0983701979045402,NA,0.0842835115450055,0.112456884264075,NA,NA
"1.10","mantika_label",NA,"Tripoli","NA",0.108265424912689,NA,0.0935685283129151,0.122962321512463,NA,NA
"2.1","baladiya_label",NA,"Abusliem","NA",0.00931315483119907,NA,0.00476976969232858,0.0138565399700696,NA,NA
"2.2","baladiya_label",NA,"Ain Zara","NA",0.00291036088474971,NA,0.000362337158944133,0.00545838461055529,NA,NA
"2.3","baladiya_label",NA,"Albrayga","NA",0.0285215366705471,NA,0.0206480700199767,0.0363950033211176,NA,NA
"2.4","baladiya_label",NA,"Algatroun","NA",0.0762514551804424,NA,0.0636979821135333,0.0888049282473515,NA,NA
"2.5","baladiya_label",NA,"Aljufra","NA",0.146100116414435,NA,0.129393376888069,0.162806855940802,NA,NA
"2.6","baladiya_label",NA,"Alkufra","NA",0.126891734575087,NA,0.111147786082162,0.142635683068013,NA,NA
"2.7","baladiya_label",NA,"Azzawya","NA",0.0942956926658906,NA,0.0804726996833935,0.108118685648388,NA,NA
"2.8","baladiya_label",NA,"Benghazi","NA",0.114668218859139,NA,0.0995973773013981,0.129739060416879,NA,NA
"2.9","baladiya_label",NA,"Ejdabia","NA",0.0634458672875437,NA,0.0519158208889095,0.0749759136861778,NA,NA
"2.10","baladiya_label",NA,"Gharb Azzawya","NA",0.00174621653084983,NA,-0.000228626007905389,0.00372105906960504,NA,NA
"2.11","baladiya_label",NA,"Hai Alandalus","NA",0.0483119906868452,NA,0.0381696613502787,0.0584543200234117,NA,NA
"2.12","baladiya_label",NA,"Jalu","NA",0.0174621653084983,NA,0.0112665187821822,0.0236578118348143,NA,NA
"2.13","baladiya_label",NA,"Janoub Azzawya","NA",0.00116414435389988,NA,-0.000448777861032959,0.00277706656883273,NA,NA
"2.14","baladiya_label",NA,"Janzour","NA",0.000582072176949942,NA,-0.000558768326274695,0.00172291268017458,NA,NA
"2.15","baladiya_label",NA,"Misrata","NA",0.10011641443539,NA,0.0859190165996775,0.114313812271102,NA,NA
"2.16","baladiya_label",NA,"Sebha","NA",0.0983701979045402,NA,0.0842835115450055,0.112456884264075,NA,NA
"2.17","baladiya_label",NA,"Suq Aljumaa","NA",0.00989522700814901,NA,0.0052133888012955,0.0145770652150025,NA,NA
"2.18","baladiya_label",NA,"Swani Bin Adam","NA",0.000582072176949942,NA,-0.000558768326274753,0.00172291268017464,NA,NA
"2.19","baladiya_label",NA,"Tajoura","NA",0.00116414435389988,NA,-0.000448777861032959,0.00277706656883273,NA,NA
"2.20","baladiya_label",NA,"Taraghin","NA",0.00291036088474971,NA,0.000362337158944155,0.00545838461055526,NA,NA
"2.21","baladiya_label",NA,"Tripoli","NA",0.0366705471478463,NA,0.0277803977821132,0.0455606965135795,NA,NA
"2.22","baladiya_label",NA,"Wadi Etba","NA",0.0186263096623981,NA,0.0122312653482322,0.0250213539765641,NA,NA
"3.1","In which country were you born?",NA,"Algeria","NA",0.00931315483119907,NA,0.00476976969232858,0.0138565399700696,NA,NA
"3.2","In which country were you born?",NA,"Bangladesh","NA",0.0186263096623981,NA,0.0122312653482322,0.0250213539765641,NA,NA
"3.3","In which country were you born?",NA,"Burkina Faso","NA",0.0110593713620489,NA,0.00611269754657209,0.0160060451775257,NA,NA
"3.4","In which country were you born?",NA,"Cameroon","NA",0.0128055878928987,NA,0.00748739545300082,0.0181237803327966,NA,NA
"3.5","In which country were you born?",NA,"Tchad","NA",0.0925494761350407,NA,0.078841876739253,0.106257075530828,NA,NA
"3.6","In which country were you born?",NA,"CôtedIvoire","NA",0.00756693830034924,NA,0.00346797856915576,0.0116658980315427,NA,NA
"3.7","In which country were you born?",NA,"Egypt","NA",0.122817229336438,NA,0.107292013815963,0.138342444856913,NA,NA
