data,Libya,no,yes
mantika_label,"","",""
Aljufra,14.6,16,8.8
Alkufra,12.7,14.9,1.9
Benghazi,11.5,7,31.8
Ejdabia,10.9,11.7,8.4
Tripoli,10.8,10.9,9.7
Misrata,10,9.3,12.7
Sebha,9.8,10.4,7.8
Murzuq,9.8,10,8.8
Azzawya,9.7,9.7,10.1
Aljfara,0.1,0.1,0
In which country were you born?,"","",""
Niger,13.1,13.2,12.7
Sudan,12.7,12.7,13
Egypt,12.3,12.3,12
Tchad,9.3,9.4,7.8
Ghana,9,9,9.4
Nigeria,8.8,8.8,9.4
Mali,4.6,5,3.2
Syria,4.3,4.5,3.9
Senegal,2.9,3.2,1.6
Morocco,2.4,2.5,2.3
Somalia,2.4,2.4,2.9
Eritrea,2.4,2.1,3.6
Other (please specify),2.4,2.1,3.6
Bangladesh,1.9,1.9,1.6
Ethiopia,1.8,1.9,1.6
Tunisia,1.8,1.4,3.9
Mauritania,1.4,1.7,0
Cameroon,1.3,1.2,1.6
Burkina Faso,1.1,1.2,1
Algeria,0.9,0.7,1.9
CôtedIvoire,0.8,0.6,1.3
Guinea,0.8,0.9,0.3
Palestine,0.6,0.8,0
Pakistan,0.5,0.4,1
Kenya,0.2,0.2,0.3
Libya,0.2,0.3,0
In which country was your father born?,"","",""
Palestine,50,50,
Libya,25,25,
Other (please specify),25,25,
In which country was your mother born?,"","",""
Palestine,50,50,
Nigeria,25,25,
Syria,25,25,
region_of_origin,"","",""
w_c_africa,53.8,54.8,49
mena,36.4,36,38.6
e_africa,7.3,6.8,9.7
Other (please specify),2.4,2.4,2.6
What nationality do you possess?,"","",""
Niger,13.2,13.3,12.7
Sudan,12.7,12.7,12.7
Egypt,12.3,12.2,12.3
Tchad,9.3,9.4,8.1
Ghana,9.1,9,9.7
Nigeria,8.8,8.7,9.4
Mali,4.6,5,3.2
Syria,4.5,4.6,4.2
Senegal,2.9,3.2,1.6
Morocco,2.4,2.5,2.3
Other (please specify),2.4,2.2,3.2
Somalia,2.3,2.2,3.2
Eritrea,2.3,2,3.2
Bangladesh,1.9,1.9,1.6
Ethiopia,1.7,1.7,1.6
Tunisia,1.7,1.3,3.6
Mauritania,1.4,1.7,0
Cameroon,1.2,1.2,1.3
Burkina Faso,1.2,1.2,1
Algeria,1,0.8,1.9
CôtedIvoire,0.9,0.8,1.3
Palestine,0.9,1.1,0
Guinea,0.6,0.8,0
Pakistan,0.4,0.3,1
Kenya,0.2,0.1,0.3
Don't know,0.1,0.1,0
Prefer not to answer,0.1,0.1,0
Togo,0.1,0,0.3
What are your primary What are your primary languages??,"","",""
Arabic,63,62,68
English,24,23,26
French,29,29,28
Hausa,15,15,13
Songhai/Zarma/Djerma,4,3,6
Sara/Bongo/Bagirmi,1,1,0
Bedawi/Beja,1,1,0
Nubian,2,1,4
Fur,0,0,0
Zaghawa,1,1,1
Dinka ,1,1,0
Fula/Fulani/Fulfulde,1,1,0
Tamasheq,0,0,0
Kanuri,0,0,0
Igbo/Ibo,1,1,1
Yoruba,1,1,1
Akan/Asante/Fante,1,1,0
Bambara,1,2,1
Bengali,2,2,2
Tigrinya,2,2,2
Somali,2,2,3
Other (please specify),4,4,4
When did you arrive in Libya?,"","",""
01/01/2019,2.8,2.9,2.3
01/03/2018,2.5,2.4,2.6
01/02/2019,2.4,2.7,1.6
01/06/2017,2.4,2.6,1.6
01/03/2019,2.3,2.4,1.9
01/04/2017,2.3,2.4,1.6
01/07/2017,2.3,2.4,1.6
01/05/2017,2.2,2.2,2.3
01/05/2018,2.1,2.2,1.6
01/01/2013,2,2.4,0.6
01/02/2018,1.9,1.9,1.9
01/05/2016,1.9,1.9,1.9
01/08/2018,1.9,1.7,2.6
01/10/2018,1.9,1.5,3.6
01/08/2017,1.8,1.7,2.3
01/06/2018,1.7,1.7,2.3
01/01/2018,1.7,1.6,1.9
01/03/2017,1.7,1.5,2.6
01/04/2016,1.7,1.4,3.2
01/10/2017,1.7,1.8,1.3
01/04/2018,1.6,1.7,1
01/10/2016,1.6,1.4,1.9
01/01/2015,1.5,1.7,0.3
01/09/2017,1.5,1.3,2.3
01/06/2016,1.4,1.4,1.3
01/07/2018,1.4,1.4,1.6
01/01/2014,1.3,1.5,0.3
01/02/2017,1.3,1.5,0.6
01/04/2019,1.3,1.1,2.6
01/08/2016,1.3,1.3,1
01/11/2018,1.3,1.4,1
01/05/2015,1.2,1.2,1.3
01/05/2019,1.2,1.2,1.3
01/07/2015,1.2,1.2,1
01/12/2018,1.2,1.4,0.6
01/03/2016,1.2,1.2,1
01/07/2016,1.2,1.2,1
01/01/2016,1.1,1.2,1
01/09/2018,1.1,1.1,1.3
01/09/2016,1,1.1,1
01/12/2017,1,0.9,1.9
01/12/2016,0.9,0.7,1.6
01/02/2015,0.8,0.9,0.6
01/02/2016,0.8,0.9,0
01/04/2015,0.8,0.7,1
01/11/2017,0.8,0.5,1.9
01/04/2014,0.7,0.8,0.3
01/07/2014,0.7,0.5,1.6
01/01/2017,0.6,0.6,0.6
01/03/2015,0.6,0.7,0.3
01/08/2015,0.6,0.6,1
01/11/2016,0.6,0.6,1
01/02/2014,0.6,0.6,0.3
01/05/2014,0.6,0.6,0.6
01/06/2013,0.6,0.7,0
01/06/2019,0.6,0.5,0.6
01/01/2005,0.5,0.6,0.3
01/08/2013,0.5,0.4,0.6
01/08/2014,0.5,0.6,0.3
01/09/2015,0.5,0.6,0.3
01/01/2008,0.5,0.6,0
01/04/2012,0.5,0.3,1.3
01/05/2012,0.5,0.5,0.3
01/10/2015,0.5,0.5,0.3
01/07/2012,0.4,0.3,1
01/08/2012,0.4,0.4,0.3
01/10/2014,0.4,0.4,0.6
01/12/2014,0.4,0.4,0.3
01/01/2009,0.3,0.4,0
01/02/2009,0.3,0.3,0.6
01/05/2013,0.3,0.4,0.3
01/09/2012,0.3,0.3,0.6
01/12/2013,0.3,0.4,0
01/02/2013,0.3,0.4,0
01/03/2012,0.3,0.4,0
01/03/2013,0.3,0.2,0.3
01/06/2012,0.3,0.4,0
01/06/2014,0.3,0.1,1
01/06/2015,0.3,0.2,0.6
01/07/2013,0.3,0.2,0.6
01/08/2007,0.3,0.3,0.3
01/10/2012,0.3,0.3,0.3
01/11/2013,0.3,0.3,0.3
01/11/2015,0.3,0.3,0.3
01/01/2001,0.2,0.2,0.3
01/01/2006,0.2,0.2,0.3
01/01/2007,0.2,0.3,0
01/03/2014,0.2,0.3,0
01/04/2013,0.2,0.1,1
01/07/2019,0.2,0.1,0.6
01/08/2000,0.2,0.2,0.3
01/08/2006,0.2,0.3,0
01/01/1999,0.2,0.2,0
01/01/2010,0.2,0.1,0.3
01/02/2007,0.2,0.2,0
01/06/2009,0.2,0,1
01/08/2008,0.2,0.2,0
01/08/2009,0.2,0.2,0
01/09/1991,0.2,0.2,0
01/09/2013,0.2,0.2,0
01/10/2013,0.2,0.1,0.3
01/11/2012,0.2,0.1,0.3
01/12/2011,0.2,0.2,0
01/12/2015,0.2,0.1,0.3
01/01/1989,0.1,0.1,0
01/01/1998,0.1,0.1,0
01/01/2012,0.1,0.1,0
01/02/1992,0.1,0.1,0
01/02/2012,0.1,0.1,0
01/03/1988,0.1,0.1,0.3
01/03/2005,0.1,0.1,0
01/05/2001,0.1,0.1,0
01/05/2010,0.1,0.1,0.3
01/06/1997,0.1,0.1,0
01/06/2011,0.1,0.1,0.3
01/07/2008,0.1,0.1,0.3
01/09/2009,0.1,0.1,0
01/12/2012,0.1,0.1,0
01/01/1955,0.1,0.1,0
01/01/1970,0.1,0.1,0
01/01/1981,0.1,0.1,0
01/01/1985,0.1,0.1,0
01/01/1988,0.1,0.1,0
01/01/1992,0.1,0.1,0
01/01/2000,0.1,0.1,0
01/01/2003,0.1,0,0
01/01/2004,0.1,0.1,0
01/01/2011,0.1,0.1,0
01/02/1989,0.1,0.1,0
01/02/1993,0.1,0.1,0
01/02/2002,0.1,0.1,0
01/02/2008,0.1,0.1,0
01/02/2010,0.1,0,0.3
01/03/1989,0.1,0.1,0
01/03/2003,0.1,0.1,0
01/03/2009,0.1,0.1,0
01/03/2010,0.1,0.1,0
01/04/1969,0.1,0.1,0
