data,Libya,no,yes
mantika_label,"","",""
Aljufra,14.6,10.6,20.4
Alkufra,12.7,16.1,7.6
Benghazi,11.5,17,4.1
Ejdabia,10.9,10.2,12.3
Tripoli,10.8,4.5,19.1
Misrata,10,9.5,10.7
Sebha,9.8,12.6,6.1
Murzuq,9.8,6.2,14.2
Azzawya,9.7,13.2,5.4
Aljfara,0.1,0.1,0.1
In which country were you born?,"","",""
Niger,13.1,13.1,13.2
Sudan,12.7,12,13.9
Egypt,12.3,13.5,10.5
Tchad,9.3,9.8,8.4
Ghana,9,9.4,8.7
Nigeria,8.8,7.9,9.6
Mali,4.6,4.4,5
Syria,4.3,4.5,4.1
Senegal,2.9,1.2,5.1
Morocco,2.4,2.8,2.1
Somalia,2.4,3,1.8
Eritrea,2.4,1.8,3
Other (please specify),2.4,2.3,2.5
Bangladesh,1.9,2.5,1.1
Ethiopia,1.8,1.4,2.3
Tunisia,1.8,2.3,1.2
Mauritania,1.4,1.9,0.8
Cameroon,1.3,1.8,0.7
Burkina Faso,1.1,0.3,2.1
Algeria,0.9,1.3,0.4
CôtedIvoire,0.8,0.6,1
Guinea,0.8,0.9,0.6
Palestine,0.6,0.4,1
Pakistan,0.5,0.6,0.3
Kenya,0.2,0.2,0.3
Libya,0.2,0.1,0.4
In which country was your father born?,"","",""
Palestine,50,0,66.7
Libya,25,100,0
Other (please specify),25,0,33.3
In which country was your mother born?,"","",""
Palestine,50,0,66.7
Nigeria,25,100,0
Syria,25,0,33.3
region_of_origin,"","",""
w_c_africa,53.8,52,56.2
mena,36.4,37.9,34.6
e_africa,7.3,6.8,7.9
Other (please specify),2.4,3.3,1.4
What nationality do you possess?,"","",""
Niger,13.2,13,13.6
Sudan,12.7,12,13.8
Egypt,12.3,13.6,10.3
Tchad,9.3,9.9,8.4
Ghana,9.1,9.5,8.7
Nigeria,8.8,8.1,9.2
Mali,4.6,4.4,5
Syria,4.5,4.6,4.4
Senegal,2.9,1.2,5.1
Morocco,2.4,2.8,2.1
Other (please specify),2.4,2.2,2.8
Somalia,2.3,2.9,1.7
Eritrea,2.3,1.9,2.6
Bangladesh,1.9,2.5,1.1
Ethiopia,1.7,1.3,2.2
Tunisia,1.7,2.2,1.1
Mauritania,1.4,1.9,0.8
Cameroon,1.2,1.6,0.7
Burkina Faso,1.2,0.3,2.2
Algeria,1,1.3,0.6
CôtedIvoire,0.9,0.7,1.1
Palestine,0.9,0.4,1.5
Guinea,0.6,0.7,0.6
Pakistan,0.4,0.6,0.1
Kenya,0.2,0.2,0.1
Don't know,0.1,0,0.1
Prefer not to answer,0.1,0,0.1
Togo,0.1,0.1,0
What are your primary What are your primary languages??,"","",""
Arabic,63,64,62
English,24,24,24
French,29,27,29
Hausa,15,14,16
Songhai/Zarma/Djerma,4,5,2
Sara/Bongo/Bagirmi,1,1,1
Bedawi/Beja,1,1,1
Nubian,2,2,1
Fur,0,0,0
Zaghawa,1,1,2
Dinka ,1,1,0
Fula/Fulani/Fulfulde,1,1,1
Tamasheq,0,0,0
Kanuri,0,0,0
Igbo/Ibo,1,1,1
Yoruba,1,1,1
Akan/Asante/Fante,1,1,1
Bambara,1,1,1
Bengali,2,2,1
Tigrinya,2,2,2
Somali,2,3,2
Other (please specify),4,3,5
When did you arrive in Libya?,"","",""
01/01/2019,2.8,3,2.6
01/03/2018,2.5,2.5,2.6
01/02/2019,2.4,2.9,1.9
01/06/2017,2.4,2.9,1.8
01/03/2019,2.3,2.1,2.6
01/04/2017,2.3,1.4,3.4
01/07/2017,2.3,1.8,3
01/05/2017,2.2,1.9,2.8
01/05/2018,2.1,2.3,1.8
01/01/2013,2,1.3,3
01/02/2018,1.9,1.3,2.6
01/05/2016,1.9,2.9,0.6
01/08/2018,1.9,2.1,1.7
01/10/2018,1.9,1.8,2.1
01/08/2017,1.8,1.8,1.8
01/06/2018,1.7,2.3,1.1
01/01/2018,1.7,2.1,1.2
01/03/2017,1.7,2,1.4
01/04/2016,1.7,2.4,0.8
01/10/2017,1.7,2,1.4
01/04/2018,1.6,1.5,1.7
01/10/2016,1.6,1.6,1.4
01/01/2015,1.5,1.3,1.7
01/09/2017,1.5,1,1.9
01/06/2016,1.4,1.5,1.2
01/07/2018,1.4,1.1,1.8
01/01/2014,1.3,1,1.8
01/02/2017,1.3,1,1.8
01/04/2019,1.3,1.2,1.5
01/08/2016,1.3,1.1,1.2
01/11/2018,1.3,1.5,1
01/05/2015,1.2,1.5,0.8
01/05/2019,1.2,0.7,1.9
01/07/2015,1.2,1,1.4
01/12/2018,1.2,1.5,0.8
