,dependent.var,independent.var,dependent.var.value,independent.var.value,numbers,se,min,max
1,cash_coping,mantika_label,extreme,Aljfara,50.0%,NA,-0.193642638,1.193642638
2,cash_coping,mantika_label,stress,Aljfara,50.0%,NA,-0.193642638,1.193642638
3,cash_coping,mantika_label,minimal,Aljufra,33.5%,NA,0.276227024,0.393095685
4,cash_coping,mantika_label,severe,Aljufra,56.2%,NA,0.500309468,0.623196509
5,cash_coping,mantika_label,stress,Aljufra,10.4%,NA,0.06585033,0.141320985
6,cash_coping,mantika_label,minimal,Alkufra,3.7%,NA,0.011713898,0.061680598
7,cash_coping,mantika_label,severe,Alkufra,19.3%,NA,0.140255033,0.245066068
8,cash_coping,mantika_label,stress,Alkufra,77.1%,NA,0.714777733,0.826506671
9,cash_coping,mantika_label,extreme,Azzawya,0.6%,NA,-0.005724759,0.017700807
10,cash_coping,mantika_label,minimal,Azzawya,24.0%,NA,0.174726491,0.304315425
11,cash_coping,mantika_label,severe,Azzawya,13.2%,NA,0.080391143,0.183081911
12,cash_coping,mantika_label,stress,Azzawya,62.3%,NA,0.549168861,0.696340121
13,cash_coping,mantika_label,extreme,Benghazi,1.0%,NA,-0.003860155,0.024164723
14,cash_coping,mantika_label,minimal,Benghazi,34.0%,NA,0.273881319,0.406321727
15,cash_coping,mantika_label,severe,Benghazi,26.9%,NA,0.207048533,0.331022533
16,cash_coping,mantika_label,stress,Benghazi,38.1%,NA,0.312838451,0.448582869
17,cash_coping,mantika_label,minimal,Ejdabia,35.6%,NA,0.287854027,0.42491193
18,cash_coping,mantika_label,severe,Ejdabia,16.5%,NA,0.111796044,0.21799119
19,cash_coping,mantika_label,stress,Ejdabia,47.9%,NA,0.407244433,0.550202375
20,cash_coping,mantika_label,extreme,Misrata,0.6%,NA,-0.005559338,0.017187245
21,cash_coping,mantika_label,minimal,Misrata,35.5%,NA,0.283083883,0.426218443
22,cash_coping,mantika_label,severe,Misrata,14.0%,NA,0.087699707,0.19137006
23,cash_coping,mantika_label,stress,Misrata,50.0%,NA,0.425202591,0.574797409
24,cash_coping,mantika_label,extreme,Murzuq,1.8%,NA,-0.002188475,0.037902761
25,cash_coping,mantika_label,minimal,Murzuq,64.9%,NA,0.576556487,0.721062561
26,cash_coping,mantika_label,severe,Murzuq,8.9%,NA,0.046123055,0.132448374
27,cash_coping,mantika_label,stress,Murzuq,24.4%,NA,0.179033057,0.309062181
28,cash_coping,mantika_label,extreme,Sebha,0.6%,NA,-0.005657423,0.017491743
29,cash_coping,mantika_label,minimal,Sebha,33.1%,NA,0.260324055,0.402397839
30,cash_coping,mantika_label,severe,Sebha,10.1%,NA,0.055197871,0.145985561
31,cash_coping,mantika_label,stress,Sebha,56.2%,NA,0.487256635,0.63700372
32,cash_coping,mantika_label,extreme,Tripoli,1.6%,NA,-0.001992609,0.034250674
33,cash_coping,mantika_label,minimal,Tripoli,19.4%,NA,0.136714385,0.250382389
34,cash_coping,mantika_label,severe,Tripoli,19.4%,NA,0.136714385,0.250382389
35,cash_coping,mantika_label,stress,Tripoli,59.7%,NA,0.526206897,0.66734149
