,dependent.var,independent.var,dependent.var.value,independent.var.value,numbers,se,min,max
1,challenges_accessing_healthcare,mantika_label,minimal,Aljfara,100.0%,NA,1,1
2,challenges_accessing_healthcare,mantika_label,minimal,Aljufra,96.8%,NA,0.946373882,0.989881098
3,challenges_accessing_healthcare,mantika_label,stress,Aljufra,3.2%,NA,0.010118902,0.053626118
4,challenges_accessing_healthcare,mantika_label,extreme,Alkufra,2.4%,NA,0.003136468,0.044033344
5,challenges_accessing_healthcare,mantika_label,minimal,Alkufra,86.3%,NA,0.816903974,0.90951112
6,challenges_accessing_healthcare,mantika_label,severe,Alkufra,3.8%,NA,0.012058509,0.06341319
7,challenges_accessing_healthcare,mantika_label,stress,Alkufra,7.5%,NA,0.0398776,0.111065796
8,challenges_accessing_healthcare,mantika_label,extreme,Azzawya,0.6%,NA,-0.005759384,0.017807577
9,challenges_accessing_healthcare,mantika_label,minimal,Azzawya,86.7%,NA,0.815837254,0.919102505
10,challenges_accessing_healthcare,mantika_label,severe,Azzawya,1.8%,NA,-0.002213227,0.038357805
11,challenges_accessing_healthcare,mantika_label,stress,Azzawya,10.8%,NA,0.061086052,0.155781418
12,challenges_accessing_healthcare,mantika_label,extreme,Benghazi,0.5%,NA,-0.004857819,0.015010103
13,challenges_accessing_healthcare,mantika_label,minimal,Benghazi,94.4%,NA,0.912066709,0.976258164
14,challenges_accessing_healthcare,mantika_label,stress,Benghazi,5.1%,NA,0.020077192,0.081445651
15,challenges_accessing_healthcare,mantika_label,extreme,Ejdabia,1.1%,NA,-0.004041783,0.025318379
16,challenges_accessing_healthcare,mantika_label,minimal,Ejdabia,77.7%,NA,0.716994126,0.836197363
17,challenges_accessing_healthcare,mantika_label,severe,Ejdabia,7.4%,NA,0.036902027,0.112034143
18,challenges_accessing_healthcare,mantika_label,stress,Ejdabia,13.8%,NA,0.088900805,0.187694939
19,challenges_accessing_healthcare,mantika_label,extreme,Misrata,1.2%,NA,-0.004647721,0.029187598
20,challenges_accessing_healthcare,mantika_label,minimal,Misrata,69.3%,NA,0.622385754,0.764117314
21,challenges_accessing_healthcare,mantika_label,severe,Misrata,7.4%,NA,0.033487573,0.113751691
22,challenges_accessing_healthcare,mantika_label,stress,Misrata,22.1%,NA,0.157111058,0.284606733
23,challenges_accessing_healthcare,mantika_label,minimal,Murzuq,89.4%,NA,0.842672676,0.944561367
24,challenges_accessing_healthcare,mantika_label,severe,Murzuq,0.7%,NA,-0.006773096,0.020957493
25,challenges_accessing_healthcare,mantika_label,stress,Murzuq,9.9%,NA,0.049878947,0.148702613
26,challenges_accessing_healthcare,mantika_label,extreme,Sebha,8.4%,NA,0.041756884,0.125907786
27,challenges_accessing_healthcare,mantika_label,minimal,Sebha,71.9%,NA,0.650288363,0.786837386
28,challenges_accessing_healthcare,mantika_label,severe,Sebha,6.0%,NA,0.023858152,0.095902327
29,challenges_accessing_healthcare,mantika_label,stress,Sebha,13.8%,NA,0.085404975,0.190044126
30,challenges_accessing_healthcare,mantika_label,extreme,Tripoli,6.1%,NA,0.025931993,0.095614969
31,challenges_accessing_healthcare,mantika_label,minimal,Tripoli,60.8%,NA,0.536531296,0.678938318
32,challenges_accessing_healthcare,mantika_label,severe,Tripoli,8.8%,NA,0.046999933,0.129795647
33,challenges_accessing_healthcare,mantika_label,stress,Tripoli,24.3%,NA,0.180538853,0.305648993
