"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"dependent.var","1. Salaried work","na","NA","NA",850,25.5106728462327,800,900,NA,NA
"dependent.var10","2. Casual or daily labour","na","NA","NA",450,25.5106728462327,400,500,NA,NA
"dependent.var11","3. Income from own business or commerce","na","NA","NA",0,0,0,0,NA,NA
"dependent.var12","4. Support from family and friends in Libya","na","NA","NA",0,0,0,0,NA,NA
"dependent.var13","5. Support from family and friends in home country","na","NA","NA",0,0,0,0,NA,NA
"dependent.var14","6. Support/remittances from family and friends in Europe","na","NA","NA",0,0,0,0,NA,NA
"dependent.var15","7. Humanitarian assistance","na","NA","NA",0,0,0,0,NA,NA
"dependent.var16","8. Zakat or charitable donations (not formal humanitarian assistance)","na","NA","NA",0,0,0,0,NA,NA
"dependent.var17","9. Other (please specify)","na","NA","NA",0,0,0,0,NA,NA
"dependent.var18","1. Food items","na","NA","NA",200,0,200,200,NA,NA
"dependent.var19","2. Rent","na","NA","NA",100,5.10213456924654,80,100,NA,NA
"dependent.var20","3. Shelter maintenance","na","NA","NA",0,0,0,0,NA,NA
"dependent.var21","4. Water (from all sources combined)","na","NA","NA",10,0,10,10,NA,NA
"dependent.var22","5. Non-food household items (hygiene items, blankets, lightbulbs, etc.)","na","NA","NA",16,1.27553364231164,15,20,NA,NA
"dependent.var23","6. Utilities (electricity and gas connections)","na","NA","NA",0,0,0,0,NA,NA
"dependent.var24","7. Fuel (for cooking, for vehicles, etc.)","na","NA","NA",10,1.27553364231164,5,10,NA,NA
"dependent.var25","8. Health-related expenditures (healthcare, medicine, etc.)","na","NA","NA",0,0,0,0,NA,NA
"dependent.var26","9. Education-related expenditures (school fees, supplies, uniforms, etc.)","na","NA","NA",0,0,0,0,NA,NA
"dependent.var27","10. Transportation ","na","NA","NA",20,0.44908478944037,20,21.7603800266158,NA,NA
"dependent.var28","11. Mobile phone credit","na","NA","NA",40,1.27553364231164,40,45,NA,NA
"dependent.var29","12. Productive assets (items used to help generate income, such as sewing machines, tools, etc.)","na","NA","NA",0,0,0,0,NA,NA
"dependent.var30","13. Debt repayment","na","NA","NA",0,0,0,0,NA,NA
"dependent.var31","14. All other expenditures (specify)","na","NA","NA",0,0,0,0,NA,NA
"dependent.var32","what is your total amount of debt (in LYD)?","na","NA","NA",175,36.8257288597775,105.645795460798,250,NA,NA
"dependent.var33","1. Salaried work","mantika_label",NA,"Misrata",800,69.6441368702153,663.5,936.5,NA,NA
"dependent.var1","1. Salaried work","mantika_label",NA,"Tripoli",600,76.5320185386981,450,750,NA,NA
"dependent.var2","1. Salaried work","mantika_label",NA,"Benghazi",1250,38.266009269349,1175,1325,NA,NA
"dependent.var3","1. Salaried work","mantika_label",NA,"Azzawya",1200,102.042691384931,1000,1400,NA,NA
"dependent.var4","1. Salaried work","mantika_label",NA,"Aljufra",0,0,0,0,NA,NA
"dependent.var5","1. Salaried work","mantika_label",NA,"Sebha",900,25.5106728462327,850,950,NA,NA
"dependent.var6","1. Salaried work","mantika_label",NA,"Ejdabia",1100,25.5106728462327,1050,1150,NA,NA
"dependent.var7","1. Salaried work","mantika_label",NA,"Alkufra",750,25.5106728462327,700,800,NA,NA
"dependent.var8","1. Salaried work","mantika_label",NA,"Murzuq",450,25.5106728462327,400,500,NA,NA
"dependent.var34","2. Casual or daily labour","mantika_label",NA,"Benghazi",700,51.0213456924654,600,800,NA,NA
"dependent.var110","2. Casual or daily labour","mantika_label",NA,"Tripoli",300,61.2256148309585,180,420,NA,NA
"dependent.var210","2. Casual or daily labour","mantika_label",NA,"Misrata",25,20.4085382769862,-15,65,NA,NA
