"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value"
"1","lcsi","region","extreme","east",0.0033167495854063,NA,-0.00127689663442134,0.00791039580523395,NA,NA,1.33814589903358e-12
"2","lcsi","region","none","east",0.237147595356551,NA,0.203165336352166,0.271129854360935,NA,NA,1.33814589903358e-12
"3","lcsi","region","severe","east",0.132669983416252,NA,0.105567995394169,0.159771971438335,NA,NA,1.33814589903358e-12
"4","lcsi","region","stress","east",0.626865671641791,NA,0.588225195434018,0.665506147849564,NA,NA,1.33814589903358e-12
"5","lcsi","region","extreme","south",0.00680272108843537,NA,0.000152260725431706,0.013453181451439,NA,NA,1.33814589903358e-12
"6","lcsi","region","none","south",0.431972789115646,NA,0.391894849934662,0.47205072829663,NA,NA,1.33814589903358e-12
"7","lcsi","region","severe","south",0.0646258503401361,NA,0.0447333930985448,0.0845183075817273,NA,NA,1.33814589903358e-12
"8","lcsi","region","stress","south",0.496598639455782,NA,0.45614546835047,0.537051810561094,NA,NA,1.33814589903358e-12
"9","lcsi","region","extreme","west",0.0114285714285714,NA,0.00232730918512822,0.0205298336720146,NA,NA,1.33814589903358e-12
"10","lcsi","region","none","west",0.281904761904762,NA,0.243379654605656,0.320429869203868,NA,NA,1.33814589903358e-12
"11","lcsi","region","severe","west",0.0838095238095238,NA,0.0600826128429298,0.107536434776118,NA,NA,1.33814589903358e-12
"12","lcsi","region","stress","west",0.622857142857143,NA,0.581357076069617,0.664357209644669,NA,NA,1.33814589903358e-12
"13","lcsi","region_region_origin","none","east_e_africa",0.183098591549296,NA,0.09304948065494,0.273147702443652,NA,NA,NA
"14","lcsi","region_region_origin","severe","east_e_africa",0.154929577464789,NA,0.070680389430305,0.239178765499273,NA,NA,NA
"15","lcsi","region_region_origin","stress","east_e_africa",0.661971830985915,NA,0.551831010847648,0.772112651124183,NA,NA,NA
"16","lcsi","region_region_origin","extreme","east_mena",0.00645161290322581,NA,-0.00246970662846214,0.0153729324349137,NA,NA,NA
"17","lcsi","region_region_origin","none","east_mena",0.280645161290323,NA,0.230578250405795,0.33071207217485,NA,NA,NA
"18","lcsi","region_region_origin","severe","east_mena",0.151612903225806,NA,0.111649216881261,0.191576589570351,NA,NA,NA
