"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value"
"1","lcsi","region_type_jobs","none","east_daily_labour",0.154285714285714,NA,0.100713827047212,0.207857601524217,NA,NA,6.48182484226088e-48
"2","lcsi","region_type_jobs","severe","east_daily_labour",0.12,NA,0.0718058623159158,0.168194137684084,NA,NA,6.48182484226088e-48
"3","lcsi","region_type_jobs","stress","east_daily_labour",0.725714285714286,NA,0.659546487190693,0.791882084237879,NA,NA,6.48182484226088e-48
"4","lcsi","region_type_jobs","none","east_did_not_work",0.222222222222222,NA,-0.0496604519998191,0.494104896444263,NA,NA,6.48182484226088e-48
"5","lcsi","region_type_jobs","severe","east_did_not_work",0.111111111111111,NA,-0.0944128722542354,0.316635094476458,NA,NA,6.48182484226088e-48
"6","lcsi","region_type_jobs","stress","east_did_not_work",0.666666666666667,NA,0.358380691618647,0.974952641714686,NA,NA,6.48182484226088e-48
"7","lcsi","region_type_jobs","none","east_more_than_1_job",0.0851063829787234,NA,0.00525200780985248,0.164960758147594,NA,NA,6.48182484226088e-48
"8","lcsi","region_type_jobs","severe","east_more_than_1_job",0.25531914893617,NA,0.130535081534031,0.38010321633831,NA,NA,6.48182484226088e-48
"9","lcsi","region_type_jobs","stress","east_more_than_1_job",0.659574468085106,NA,0.523969584369136,0.795179351801077,NA,NA,6.48182484226088e-48
"10","lcsi","region_type_jobs","stress","east_NA",1,NA,1,1,NA,NA,6.48182484226088e-48
"11","lcsi","region_type_jobs","extreme","east_permanent_job",0.00784313725490196,NA,-0.00299479088318659,0.0186810653929905,NA,NA,6.48182484226088e-48
"12","lcsi","region_type_jobs","none","east_permanent_job",0.376470588235294,NA,0.316944795571405,0.435996380899183,NA,NA,6.48182484226088e-48
"13","lcsi","region_type_jobs","severe","east_permanent_job",0.137254901960784,NA,0.0949767134150855,0.179533090506483,NA,NA,6.48182484226088e-48
"14","lcsi","region_type_jobs","stress","east_permanent_job",0.47843137254902,NA,0.417058458509269,0.53980428658877,NA,NA,6.48182484226088e-48
"15","lcsi","region_type_jobs","none","east_temporary_job",0.120689655172414,NA,0.0613481716780565,0.180031138666771,NA,NA,6.48182484226088e-48
"16","lcsi","region_type_jobs","severe","east_temporary_job",0.0948275862068965,NA,0.0414590504387961,0.148196121974997,NA,NA,6.48182484226088e-48
"17","lcsi","region_type_jobs","stress","east_temporary_job",0.78448275862069,NA,0.709582210487401,0.859383306753979,NA,NA,6.48182484226088e-48
"18","lcsi","region_type_jobs","extreme","south_daily_labour",0.00738007380073801,NA,-0.00282035622131348,0.0175805038227895,NA,NA,6.48182484226088e-48
"19","lcsi","region_type_jobs","none","south_daily_labour",0.435424354243542,NA,0.376334344439518,0.494514364047566,NA,NA,6.48182484226088e-48
"20","lcsi","region_type_jobs","severe","south_daily_labour",0.0848708487084871,NA,0.0516571607323631,0.118084536684611,NA,NA,6.48182484226088e-48
"21","lcsi","region_type_jobs","stress","south_daily_labour",0.472324723247232,NA,0.4128270000971,0.531822446397365,NA,NA,6.48182484226088e-48
"22","lcsi","region_type_jobs","none","south_did_not_work",0.85,NA,0.693353255419815,1.00664674458018,NA,NA,6.48182484226088e-48
"23","lcsi","region_type_jobs","severe","south_did_not_work",0.05,NA,-0.0456121504670704,0.14561215046707,NA,NA,6.48182484226088e-48
"24","lcsi","region_type_jobs","stress","south_did_not_work",0.1,NA,-0.0316095899980732,0.231609589998073,NA,NA,6.48182484226088e-48
"25","lcsi","region_type_jobs","none","south_more_than_1_job",0.347826086956522,NA,0.152985177397668,0.542666996515376,NA,NA,6.48182484226088e-48
"26","lcsi","region_type_jobs","severe","south_more_than_1_job",0.173913043478261,NA,0.0188542781969747,0.328971808759547,NA,NA,6.48182484226088e-48
"27","lcsi","region_type_jobs","stress","south_more_than_1_job",0.478260869565217,NA,0.273909999634371,0.682611739496064,NA,NA,6.48182484226088e-48
"28","lcsi","region_type_jobs","extreme","south_NA",0.0909090909090909,NA,-0.0791470234354993,0.260965205253681,NA,NA,6.48182484226088e-48
"29","lcsi","region_type_jobs","none","south_NA",0.545454545454545,NA,0.250908715271973,0.840000375637118,NA,NA,6.48182484226088e-48
"30","lcsi","region_type_jobs","severe","south_NA",0.0909090909090909,NA,-0.0791470234354993,0.260965205253681,NA,NA,6.48182484226088e-48
"31","lcsi","region_type_jobs","stress","south_NA",0.272727272727273,NA,0.00927747321633582,0.53617707223821,NA,NA,6.48182484226088e-48
"32","lcsi","region_type_jobs","none","south_permanent_job",0.684684684684685,NA,0.598160477331142,0.771208892038227,NA,NA,6.48182484226088e-48
"33","lcsi","region_type_jobs","severe","south_permanent_job",0.0540540540540541,NA,0.0119458144167407,0.0961622936913674,NA,NA,6.48182484226088e-48
"34","lcsi","region_type_jobs","stress","south_permanent_job",0.261261261261261,NA,0.179451950033431,0.343070572489092,NA,NA,6.48182484226088e-48
"35","lcsi","region_type_jobs","extreme","south_temporary_job",0.00657894736842105,NA,-0.00628589209113605,0.0194437868279782,NA,NA,6.48182484226088e-48
"36","lcsi","region_type_jobs","none","south_temporary_job",0.190789473684211,NA,0.128262493841806,0.253316453526615,NA,NA,6.48182484226088e-48
"37","lcsi","region_type_jobs","severe","south_temporary_job",0.0197368421052632,NA,-0.00239765498258409,0.0418713391931104,NA,NA,6.48182484226088e-48
"38","lcsi","region_type_jobs","stress","south_temporary_job",0.782894736842105,NA,0.717288315617278,0.848501158066932,NA,NA,6.48182484226088e-48
"39","lcsi","region_type_jobs","extreme","west_daily_labour",0.0114285714285714,NA,-0.00433527719008047,0.0271924200472233,NA,NA,6.48182484226088e-48
"40","lcsi","region_type_jobs","none","west_daily_labour",0.325714285714286,NA,0.256211431821744,0.395217139606827,NA,NA,6.48182484226088e-48
"41","lcsi","region_type_jobs","severe","west_daily_labour",0.0857142857142857,NA,0.0441969164174453,0.127231655011126,NA,NA,6.48182484226088e-48
"42","lcsi","region_type_jobs","stress","west_daily_labour",0.577142857142857,NA,0.503877148761224,0.65040856552449,NA,NA,6.48182484226088e-48
"43","lcsi","region_type_jobs","extreme","west_did_not_work",0.0289855072463768,NA,-0.0106386503567524,0.068609664849506,NA,NA,6.48182484226088e-48
"44","lcsi","region_type_jobs","none","west_did_not_work",0.202898550724638,NA,0.107913992803191,0.297883108646084,NA,NA,6.48182484226088e-48
"45","lcsi","region_type_jobs","severe","west_did_not_work",0.130434782608696,NA,0.0508913143688694,0.209978250848522,NA,NA,6.48182484226088e-48
"46","lcsi","region_type_jobs","stress","west_did_not_work",0.63768115942029,NA,0.524152898347597,0.751209420492982,NA,NA,6.48182484226088e-48
"47","lcsi","region_type_jobs","none","west_more_than_1_job",0.0923076923076923,NA,0.0218687420136353,0.162746642601749,NA,NA,6.48182484226088e-48
"48","lcsi","region_type_jobs","severe","west_more_than_1_job",0.0153846153846154,NA,-0.0145656883680218,0.0453349191372526,NA,NA,6.48182484226088e-48
"49","lcsi","region_type_jobs","stress","west_more_than_1_job",0.892307692307692,NA,0.816872454963897,0.967742929651488,NA,NA,6.48182484226088e-48
"50","lcsi","region_type_jobs","extreme","west_NA",0.5,NA,-0.193643443858044,1.19364344385804,NA,NA,6.48182484226088e-48
"51","lcsi","region_type_jobs","stress","west_NA",0.5,NA,-0.193643443858044,1.19364344385804,NA,NA,6.48182484226088e-48
"52","lcsi","region_type_jobs","none","west_permanent_job",0.41025641025641,NA,0.321039403044658,0.499473417468163,NA,NA,6.48182484226088e-48
"53","lcsi","region_type_jobs","severe","west_permanent_job",0.0854700854700855,NA,0.034759996149956,0.136180174790215,NA,NA,6.48182484226088e-48
"54","lcsi","region_type_jobs","stress","west_permanent_job",0.504273504273504,NA,0.413587035924111,0.594959972622898,NA,NA,6.48182484226088e-48
"55","lcsi","region_type_jobs","extreme","west_temporary_job",0.0103092783505155,NA,-0.00981217260353287,0.0304307293045638,NA,NA,6.48182484226088e-48
"56","lcsi","region_type_jobs","none","west_temporary_job",0.237113402061856,NA,0.152389986490677,0.321836817633035,NA,NA,6.48182484226088e-48
"57","lcsi","region_type_jobs","severe","west_temporary_job",0.0927835051546392,NA,0.0349890373822527,0.150577972927026,NA,NA,6.48182484226088e-48
"58","lcsi","region_type_jobs","stress","west_temporary_job",0.65979381443299,NA,0.565415843767607,0.754171785098372,NA,NA,6.48182484226088e-48
"59","rcsi_category","region_type_jobs","high","east_daily_labour",0.137142857142857,NA,0.0861254596246709,0.188160254661043,NA,NA,3.03654326102889e-105
"60","rcsi_category","region_type_jobs","low","east_daily_labour",0.32,NA,0.250818225012554,0.389181774987446,NA,NA,3.03654326102889e-105
"61","rcsi_category","region_type_jobs","medium","east_daily_labour",0.542857142857143,NA,0.468976442723668,0.616737842990617,NA,NA,3.03654326102889e-105
"62","rcsi_category","region_type_jobs","high","east_did_not_work",0.444444444444444,NA,0.119482493831918,0.769406395056971,NA,NA,3.03654326102889e-105
"63","rcsi_category","region_type_jobs","low","east_did_not_work",0.111111111111111,NA,-0.0944128722542354,0.316635094476458,NA,NA,3.03654326102889e-105
"64","rcsi_category","region_type_jobs","medium","east_did_not_work",0.444444444444444,NA,0.119482493831918,0.769406395056971,NA,NA,3.03654326102889e-105
"65","rcsi_category","region_type_jobs","high","east_more_than_1_job",0.127659574468085,NA,0.0321598659738187,0.223159282962351,NA,NA,3.03654326102889e-105
"66","rcsi_category","region_type_jobs","low","east_more_than_1_job",0.468085106382979,NA,0.325289173796331,0.610881038969626,NA,NA,3.03654326102889e-105
"67","rcsi_category","region_type_jobs","medium","east_more_than_1_job",0.404255319148936,NA,0.263815484801979,0.544695153495893,NA,NA,3.03654326102889e-105
"68","rcsi_category","region_type_jobs","high","east_NA",1,NA,1,1,NA,NA,3.03654326102889e-105
"69","rcsi_category","region_type_jobs","high","east_permanent_job",0.0470588235294118,NA,0.0210413711423916,0.0730762759164319,NA,NA,3.03654326102889e-105
"70","rcsi_category","region_type_jobs","low","east_permanent_job",0.615686274509804,NA,0.555923070504337,0.675449478515271,NA,NA,3.03654326102889e-105
"71","rcsi_category","region_type_jobs","medium","east_permanent_job",0.337254901960784,NA,0.279169956412537,0.395339847509032,NA,NA,3.03654326102889e-105
"72","rcsi_category","region_type_jobs","high","east_temporary_job",0.181034482758621,NA,0.110894485356938,0.251174480160304,NA,NA,3.03654326102889e-105
"73","rcsi_category","region_type_jobs","low","east_temporary_job",0.181034482758621,NA,0.110894485356938,0.251174480160304,NA,NA,3.03654326102889e-105
"74","rcsi_category","region_type_jobs","medium","east_temporary_job",0.637931034482759,NA,0.55038533833346,0.725476730632057,NA,NA,3.03654326102889e-105
"75","rcsi_category","region_type_jobs","high","south_daily_labour",0.287822878228782,NA,0.2338651944227,0.341780562034864,NA,NA,3.03654326102889e-105
"76","rcsi_category","region_type_jobs","low","south_daily_labour",0.601476014760148,NA,0.543127067759355,0.65982496176094,NA,NA,3.03654326102889e-105
"77","rcsi_category","region_type_jobs","medium","south_daily_labour",0.11070110701107,NA,0.0733075747256169,0.148094639296523,NA,NA,3.03654326102889e-105
"78","rcsi_category","region_type_jobs","high","south_did_not_work",0.75,NA,0.56003791946669,0.93996208053331,NA,NA,3.03654326102889e-105
"79","rcsi_category","region_type_jobs","low","south_did_not_work",0.1,NA,-0.0316095899980732,0.231609589998073,NA,NA,3.03654326102889e-105
"80","rcsi_category","region_type_jobs","medium","south_did_not_work",0.15,NA,-0.00664674458018477,0.306646744580185,NA,NA,3.03654326102889e-105
"81","rcsi_category","region_type_jobs","high","south_more_than_1_job",0.260869565217391,NA,0.0812351224396675,0.440504007995115,NA,NA,3.03654326102889e-105
"82","rcsi_category","region_type_jobs","low","south_more_than_1_job",0.739130434782609,NA,0.559495992004885,0.918764877560332,NA,NA,3.03654326102889e-105
"83","rcsi_category","region_type_jobs","high","south_NA",0.363636363636364,NA,0.0790780573567104,0.648194669916017,NA,NA,3.03654326102889e-105
"84","rcsi_category","region_type_jobs","low","south_NA",0.636363636363636,NA,0.351805330083983,0.92092194264329,NA,NA,3.03654326102889e-105
"85","rcsi_category","region_type_jobs","high","south_permanent_job",0.153153153153153,NA,0.0860898101408065,0.2202164961655,NA,NA,3.03654326102889e-105
"86","rcsi_category","region_type_jobs","low","south_permanent_job",0.774774774774775,NA,0.696986159421453,0.852563390128096,NA,NA,3.03654326102889e-105
"87","rcsi_category","region_type_jobs","medium","south_permanent_job",0.0720720720720721,NA,0.0239149619874716,0.120229182156673,NA,NA,3.03654326102889e-105
"88","rcsi_category","region_type_jobs","high","south_temporary_job",0.638157894736842,NA,0.561689299997271,0.714626489476413,NA,NA,3.03654326102889e-105
"89","rcsi_category","region_type_jobs","low","south_temporary_job",0.269736842105263,NA,0.199110076957017,0.340363607253509,NA,NA,3.03654326102889e-105
"90","rcsi_category","region_type_jobs","medium","south_temporary_job",0.0921052631578947,NA,0.0460881406444817,0.138122385671308,NA,NA,3.03654326102889e-105
"91","rcsi_category","region_type_jobs","high","west_daily_labour",0.474285714285714,NA,0.400230240271214,0.548341188300215,NA,NA,3.03654326102889e-105
"92","rcsi_category","region_type_jobs","low","west_daily_labour",0.36,NA,0.288812540832034,0.431187459167966,NA,NA,3.03654326102889e-105
"93","rcsi_category","region_type_jobs","medium","west_daily_labour",0.165714285714286,NA,0.110570112063149,0.220858459365423,NA,NA,3.03654326102889e-105
"94","rcsi_category","region_type_jobs","high","west_did_not_work",0.695652173913043,NA,0.586975106872087,0.804329240954,NA,NA,3.03654326102889e-105
"95","rcsi_category","region_type_jobs","low","west_did_not_work",0.159420289855072,NA,0.0729597421117817,0.245880837598363,NA,NA,3.03654326102889e-105
"96","rcsi_category","region_type_jobs","medium","west_did_not_work",0.144927536231884,NA,0.0617830126780593,0.228072059785709,NA,NA,3.03654326102889e-105
"97","rcsi_category","region_type_jobs","high","west_more_than_1_job",0.415384615384615,NA,0.295466464069985,0.535302766699246,NA,NA,3.03654326102889e-105
"98","rcsi_category","region_type_jobs","low","west_more_than_1_job",0.169230769230769,NA,0.0779867375119178,0.260474800949621,NA,NA,3.03654326102889e-105
