data,Libya,no,yes
mantika_label,"","",""
Aljufra,14.6,16.4,9.5
Alkufra,12.7,15.6,4.2
Benghazi,11.5,13.9,4.4
Ejdabia,11,13.3,4.2
Tripoli,10.8,6.2,24.2
Misrata,10,7.3,18.4
Sebha,9.9,12.5,2.1
Murzuq,9.8,11.4,4.9
Azzawya,9.7,3.6,28.1
In which country were you born?,"","",""
Niger,13.1,14,10.2
Sudan,12.8,12.2,14.7
Egypt,12.3,13.5,8.8
Tchad,9.2,9.4,8.6
Ghana,9,9.3,8.4
Nigeria,8.9,8.6,9.3
Mali,4.6,4.3,5.6
Syria,4.3,2.7,9.1
Senegal,2.9,3.7,0.7
Morocco,2.4,1.8,4.4
Eritrea,2.4,2.8,1.2
Somalia,2.4,2.7,1.4
Bangladesh,1.9,2,1.4
Ethiopia,1.8,1.8,1.9
Tunisia,1.8,2.1,0.9
Other (please specify),1.5,1.2,2.6
Mauritania,1.4,1.7,0.5
Cameroon,1.3,1.6,0.5
Burkina Faso,1.1,1.1,1.2
Algeria,0.9,0.7,1.6
CôtedIvoire,0.8,0.9,0.5
Guinea,0.8,0.7,0.9
Palestine,0.6,0.1,2.3
Pakistan,0.5,0.4,0.7
iraq,0.3,0,1.4
south_sudan,0.3,0.4,0.2
Kenya,0.2,0.3,0
Libya,0.2,0,0.9
yemen,0.2,0.2,0.2
In which country was your father born?,"","",""
Palestine,50,,50
Libya,25,,25
Other (please specify),25,,25
In which country was your mother born?,"","",""
Palestine,50,,50
Nigeria,25,,25
Syria,25,,25
region_of_origin,"","",""
w_c_africa,53.9,55.9,47.7
mena,36.4,33.6,45.1
e_africa,7.2,8.1,4.7
Other (please specify),2.4,2.4,2.6
What nationality do you possess?,"","",""
Niger,13.2,14.3,10
Sudan,12.7,12.2,14.2
Egypt,12.3,13.7,8.4
Tchad,9.3,9.5,8.6
Ghana,9.1,9.4,8.4
Nigeria,8.8,8.4,9.5
Mali,4.6,4.3,5.6
Syria,4.4,2.7,9.5
