"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max"
"1","Are you aware of the presence of any explosive hazards in your neighborhood?","mantika_label","No","Aljfara",1,NA,1,1
"2","Are you aware of the presence of any explosive hazards in your neighborhood?","mantika_label","No","Aljufra",1,NA,1,1
"3","Are you aware of the presence of any explosive hazards in your neighborhood?","mantika_label","Prefer not to answer","Alkufra",0.0137614678899083,NA,-0.00171870802087325,0.0292416438006898
"4","Are you aware of the presence of any explosive hazards in your neighborhood?","mantika_label","No","Alkufra",0.821100917431193,NA,0.770173124764252,0.872028710098133
"5","Are you aware of the presence of any explosive hazards in your neighborhood?","mantika_label","Yes","Alkufra",0.165137614678899,NA,0.11579945132079,0.214475778037008
"6","Are you aware of the presence of any explosive hazards in your neighborhood?","mantika_label","No","Azzawya",0.586826347305389,NA,0.512070761151287,0.661581933459492
"7","Are you aware of the presence of any explosive hazards in your neighborhood?","mantika_label","Yes","Azzawya",0.413173652694611,NA,0.338418066540508,0.487929238848713
"8","Are you aware of the presence of any explosive hazards in your neighborhood?","mantika_label","Prefer not to answer","Benghazi",0.0101522842639594,NA,-0.00386015486145786,0.0241647233893766
"9","Are you aware of the presence of any explosive hazards in your neighborhood?","mantika_label","No","Benghazi",0.949238578680203,NA,0.918555266505025,0.979921890855382
"10","Are you aware of the presence of any explosive hazards in your neighborhood?","mantika_label","Yes","Benghazi",0.0406091370558376,NA,0.013018779358497,0.0681994947531781
"11","Are you aware of the presence of any explosive hazards in your neighborhood?","mantika_label","Prefer not to answer","Ejdabia",0.00531914893617021,NA,-0.00508879164056947,0.0157270895129099
"12","Are you aware of the presence of any explosive hazards in your neighborhood?","mantika_label","No","Ejdabia",0.99468085106383,NA,0.98427291048709,1.00508879164057
"13","Are you aware of the presence of any explosive hazards in your neighborhood?","mantika_label","Prefer not to answer","Misrata",0.0174418604651163,NA,-0.00214171942095114,0.0370254403511837
"14","Are you aware of the presence of any explosive hazards in your neighborhood?","mantika_label","No","Misrata",0.941860465116279,NA,0.906854213381881,0.976866716850677
"15","Are you aware of the presence of any explosive hazards in your neighborhood?","mantika_label","Yes","Misrata",0.0406976744186047,NA,0.011139398667966,0.0702559501692433
"16","Are you aware of the presence of any explosive hazards in your neighborhood?","mantika_label","Prefer not to answer","Murzuq",0.0119047619047619,NA,-0.00451193930312829,0.0283214631126521
"17","Are you aware of the presence of any explosive hazards in your neighborhood?","mantika_label","No","Murzuq",0.988095238095238,NA,0.971678536887348,1.00451193930313
"18","Are you aware of the presence of any explosive hazards in your neighborhood?","mantika_label","Prefer not to answer","Sebha",0.0177514792899408,NA,-0.0021765975485135,0.0376795561283952
"19","Are you aware of the presence of any explosive hazards in your neighborhood?","mantika_label","No","Sebha",0.875739644970414,NA,0.825955480497717,0.925523809443111
"20","Are you aware of the presence of any explosive hazards in your neighborhood?","mantika_label","Yes","Sebha",0.106508875739645,NA,0.0599528988537833,0.153064852625507
"21","Are you aware of the presence of any explosive hazards in your neighborhood?","mantika_label","Prefer not to answer","Tripoli",0.010752688172043,NA,-0.00408394187456111,0.0255893182186471
"22","Are you aware of the presence of any explosive hazards in your neighborhood?","mantika_label","No","Tripoli",0.962365591397849,NA,0.93498852597556,0.989742656820139
"23","Are you aware of the presence of any explosive hazards in your neighborhood?","mantika_label","Yes","Tripoli",0.0268817204301075,NA,0.00361497447496639,0.0501484663852487
