"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max"
"1","psychologica_distress_signs_under18","mantika_label","no","Aljfara",0.5,NA,-0.193642637819489,1.19364263781949
"2","psychologica_distress_signs_under18","mantika_label","yes","Aljfara",0.5,NA,-0.193642637819489,1.19364263781949
"3","psychologica_distress_signs_under18","mantika_label","no","Aljufra",0.912350597609562,NA,0.877331957741414,0.947369237477709
"4","psychologica_distress_signs_under18","mantika_label","yes","Aljufra",0.0876494023904383,NA,0.052630762522291,0.122668042258586
"5","psychologica_distress_signs_under18","mantika_label","no","Alkufra",0.940366972477064,NA,0.908900747685472,0.971833197268657
"6","psychologica_distress_signs_under18","mantika_label","yes","Alkufra",0.0596330275229358,NA,0.0281668027313434,0.0910992523145282
"7","psychologica_distress_signs_under18","mantika_label","no","Azzawya",0.538922155688623,NA,0.463243626110132,0.614600685267114
"8","psychologica_distress_signs_under18","mantika_label","yes","Azzawya",0.461077844311377,NA,0.385399314732887,0.536756373889868
"9","psychologica_distress_signs_under18","mantika_label","no","Benghazi",0.979695431472081,NA,0.959980735431583,0.999410127512579
"10","psychologica_distress_signs_under18","mantika_label","yes","Benghazi",0.0203045685279188,NA,0.000589872487420717,0.0400192645684168
"11","psychologica_distress_signs_under18","mantika_label","no","Ejdabia",0.946808510638298,NA,0.914697497971666,0.978919523304929
"12","psychologica_distress_signs_under18","mantika_label","yes","Ejdabia",0.0531914893617021,NA,0.0210804766950705,0.0853025020283338
"13","psychologica_distress_signs_under18","mantika_label","no","Misrata",0.709302325581395,NA,0.641373669611675,0.777230981551116
"14","psychologica_distress_signs_under18","mantika_label","yes","Misrata",0.290697674418605,NA,0.222769018448884,0.358626330388325
"15","psychologica_distress_signs_under18","mantika_label","no","Murzuq",0.922619047619048,NA,0.882175021957941,0.963063073280155
"16","psychologica_distress_signs_under18","mantika_label","yes","Murzuq",0.0773809523809524,NA,0.0369369267198454,0.117824978042059
"17","psychologica_distress_signs_under18","mantika_label","no","Sebha",0.940828402366864,NA,0.905220263098814,0.976436541634914
"18","psychologica_distress_signs_under18","mantika_label","yes","Sebha",0.0591715976331361,NA,0.0235634583650862,0.0947797369011859
"19","psychologica_distress_signs_under18","mantika_label","no","Tripoli",0.639784946236559,NA,0.570725635358832,0.708844257114286
"20","psychologica_distress_signs_under18","mantika_label","yes","Tripoli",0.360215053763441,NA,0.291155742885714,0.429274364641168
