"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value"
"1","Livelihood cash coping","region","extreme","east",0.0033167495854063,NA,-0.00127689930808672,0.00791039847889933,NA,NA,1.9385489925533e-26
"2","Livelihood cash coping","region","minimal","east",0.235489220563847,NA,0.201589181493328,0.269389259634367,NA,NA,1.9385489925533e-26
"3","Livelihood cash coping","region","severe","east",0.208955223880597,NA,0.176472680589366,0.241437767171828,NA,NA,1.9385489925533e-26
"4","Livelihood cash coping","region","stress","east",0.552238805970149,NA,0.512509629513962,0.591967982426336,NA,NA,1.9385489925533e-26
"5","Livelihood cash coping","region","extreme","south",0.00680272108843537,NA,0.000152256854627414,0.0134531853222433,NA,NA,1.9385489925533e-26
"6","Livelihood cash coping","region","minimal","south",0.423469387755102,NA,0.383491939888789,0.463446835621415,NA,NA,1.9385489925533e-26
"7","Livelihood cash coping","region","severe","south",0.29421768707483,NA,0.257348578028702,0.331086796120957,NA,NA,1.9385489925533e-26
"8","Livelihood cash coping","region","stress","south",0.275510204081633,NA,0.239362738758526,0.31165766940474,NA,NA,1.9385489925533e-26
"9","Livelihood cash coping","region","extreme","west",0.00954198473282443,NA,0.00120990758131376,0.0178740618843351,NA,NA,1.9385489925533e-26
"10","Livelihood cash coping","region","minimal","west",0.259541984732824,NA,0.221969499834252,0.297114469631397,NA,NA,1.9385489925533e-26
"11","Livelihood cash coping","region","severe","west",0.156488549618321,NA,0.125349692949645,0.187627406286996,NA,NA,1.9385489925533e-26
"12","Livelihood cash coping","region","stress","west",0.57442748091603,NA,0.532051449596724,0.616803512235337,NA,NA,1.9385489925533e-26
"13","rcsi_category","region","high","east",0.112769485903814,NA,0.0874976431167538,0.138041328690875,NA,NA,1.92162609864226e-71
"14","rcsi_category","region","low","east",0.42620232172471,NA,0.386692035585827,0.465712607863592,NA,NA,1.92162609864226e-71
"15","rcsi_category","region","medium","east",0.461028192371476,NA,0.421201921582303,0.500854463160649,NA,NA,1.92162609864226e-71
"16","rcsi_category","region","high","south",0.369047619047619,NA,0.330005591398636,0.408089646696602,NA,NA,1.92162609864226e-71
"17","rcsi_category","region","low","south",0.537414965986394,NA,0.49707425610637,0.577755675866419,NA,NA,1.92162609864226e-71
"18","rcsi_category","region","medium","south",0.0935374149659864,NA,0.0699782175056214,0.117096612426351,NA,NA,1.92162609864226e-71
"19","rcsi_category","region","high","west",0.5,NA,0.457146539982657,0.542853460017343,NA,NA,1.92162609864226e-71
"20","rcsi_category","region","low","west",0.316793893129771,NA,0.276920778714432,0.35666700754511,NA,NA,1.92162609864226e-71
"21","rcsi_category","region","medium","west",0.183206106870229,NA,0.150051635889752,0.216360577850706,NA,NA,1.92162609864226e-71
